module	A2O.1	A2O.72	A2O.116	A2O.95	A2O.43	A2O.131	A2O.83	A2O.98	A2O.85	AO.7	A2O.3	A2O.126	AO.76	AO.50	AO.84	A2O.122	AO.32	A2O.11	A2O.97	AO.10	AO.9	A2O.14	A2O.133	AO.25	AO.99	A2O.71	A2O.26	A2O.88	A2O.92	A2O.105	AO.94	A2O.103	AO.46	AO.28	AO.72	A2O.89	AO.34	A2O.73	A2O.148	A2O.156	AO.71	AO.20	AO.78	AO.1	A2O.112	A2O.107	A2O.140	AO.63	AO.35	A2O.77	A2O.134	A2O.82	A2O.4	AO.5	AO.68	A2O.47	AO.69	A2O.21	A2O.125	AO.73	A2O.49	A2O.123	A2O.132	AO.65	A2O.29	A2O.84	A2O.19	A2O.58	AO.15	A2O.8	A2O.28	AO.90	A2O.50	AO.95	AO.16	A2O.67	AO.54	A2O.13	A2O.158	A2O.65	AO.74	A2O.90	A2O.20	A2O.147	A2O.127	A2O.78	AO.33	AO.53	A2O.157	A2O.33	A2O.119	A2O.22	A2O.15	A2O.34	A2O.155	AO.97	A2O.44	AO.17	A2O.70	AO.82	AO.75	AO.83	A2O.76	A2O.159	A2O.113	A2O.81	AO.85	A2O.114	A2O.117	A2O.128	A2O.27	A2O.120	AO.14	AO.27	A2O.54	A2O.124	A2O.118	A2O.45	A2O.102	AO.92	AO.64	AO.2	A2O.144	A2O.151	A2O.51	A2O.130	AO.89	A2O.69	A2O.136	A2O.61	AO.26	A2O.106	AO.39	A2O.53	A2O.48	A2O.6	AO.86	A2O.93	A2O.18	A2O.40	AO.57	A2O.142	AO.38	AO.77	AO.12	A2O.56	A2O.35	A2O.12	AO.67	A2O.17	AO.36	AO.18	A2O.91	AO.3	A2O.68	AO.59	A2O.129	AO.43	A2O.32	A2O.86	A2O.108	A2O.57	AO.49	AO.40	A2O.52	A2O.16	A2O.135	AO.22	A2O.99	A2O.36	AO.91	A2O.111	AO.24	A2O.100	AO.61	AO.62	A2O.94	AO.58	A2O.38	A2O.143	AO.56	A2O.139	A2O.30	A2O.9	A2O.24	A2O.31	A2O.46	A2O.74	A2O.42	A2O.25	AO.23	AO.29	AO.41	A2O.138	AO.80	A2O.146	A2O.41	AO.8	AO.79	AO.93	AO.51	AO.21	A2O.145	A2O.79	A2O.149	A2O.121	AO.13	A2O.104	A2O.5	A2O.39	A2O.62	A2O.60	A2O.109	AO.42	A2O.115	AO.55	A2O.66	A2O.152	A2O.101	AO.44	AO.52	AO.30	AO.88	AO.45	A2O.137	A2O.7	AO.4	A2O.87	A2O.96	AO.66	A2O.64	A2O.80	A2O.75	A2O.23	AO.87	AO.6	AO.48	A2O.55	AO.81	AO.11	A2O.10	A2O.110	A2O.63	AO.60	A2O.37	A2O.141	A2O.2	AO.19	AO.98	A2O.59	A2O.153	A2O.150	AO.37	AO.70	AO.96	AO.31	A2O.154
M00520	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00526	1.0	1.25	1.0	1.0	1.1666666666666667	1.25	1.5	1.4	1.0	1.25	1.25	1.3333333333333333	1.0	2.0	1.0	1.6	1.6	1.8	1.0	1.6	1.0	1.6	1.0	1.1666666666666667	1.6	1.0	1.3333333333333333	1.2	1.0	0.0	1.5	0.0	1.2	1.0	1.0	1.0	1.0	1.0	1.2	1.75	1.0	1.0	1.1666666666666667	1.2	1.2	1.0	1.2	1.3333333333333333	1.0	1.8333333333333333	1.75	1.3333333333333333	1.3333333333333333	1.0	1.0	1.2	1.2	1.6	1.2	1.0	1.0	1.2	1.5	1.5	1.0	1.0	1.0	1.0	1.2	1.5	1.8	1.0	1.5	1.0	0.0	1.2	1.0	1.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.6	1.0	1.0	1.1666666666666667	1.0	1.0	1.0	1.4	1.2	1.2	1.2	1.8	1.8	1.2	1.2	1.0	0.0	1.0	0.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.25	1.0	1.3333333333333333	1.0	1.0	2.0	2.0	1.75	0.0	1.0	1.3333333333333333	1.75	1.0	1.0	1.0	1.0	1.4	1.4	1.0	1.0	1.75	1.0	1.6666666666666667	0.0	1.3333333333333333	1.75	1.0	0.0	1.0	1.4	1.0	1.2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.4	1.25	1.6	1.6666666666666667	1.1666666666666667	1.2	1.4	1.0	1.0	1.1666666666666667	1.3333333333333333	1.0	1.3333333333333333	1.0	1.3333333333333333	1.0	1.0	1.25	1.25	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.25	0.0	1.2	1.2	1.0	1.0	1.0	1.2	1.0	0.0	1.0	0.0	0.0	1.2	0.0	1.0	1.0	0.0	1.25	1.2	1.2	1.0	1.2	1.3333333333333333	0.0	1.2	1.5	1.3333333333333333	1.3333333333333333	1.0	1.6	1.2	0.0	1.0	1.0	0.0	1.6	0.0	1.2	0.0	1.1666666666666667	1.0	1.0	0.0	0.0	0.0	0.0	1.4	1.0	1.2	0.0	0.0	1.2	0.0	1.2	1.0	1.0	1.4	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.2	0.0	1.25	1.2	0.0	1.25	0.0	0.0	1.0	1.0
M00527	0.0	1.1666666666666667	1.1666666666666667	1.0	1.1428571428571428	1.2	1.5	1.3333333333333333	1.0	1.2	1.2	1.25	1.0	1.8333333333333333	1.0	1.5	1.6	1.5714285714285714	1.0	1.4285714285714286	1.0	1.5	1.0	1.0	1.4285714285714286	1.0	1.25	1.1666666666666667	1.0	0.0	1.4	0.0	1.2	1.0	1.0	0.0	1.0	1.0	1.1666666666666667	1.6	1.0	1.0	1.1666666666666667	1.1666666666666667	1.1666666666666667	1.0	1.2	1.25	1.0	1.7142857142857142	1.6	1.3333333333333333	1.3333333333333333	1.0	1.0	1.1666666666666667	1.2	1.4285714285714286	1.2	1.0	1.0	1.1666666666666667	1.5	1.3333333333333333	1.0	1.0	1.0	1.0	1.1666666666666667	1.4	1.6666666666666667	1.0	1.375	1.0	0.0	1.1428571428571428	1.0	1.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.142857142857143	1.0	1.0	1.1428571428571428	1.0	1.0	1.0	1.4	1.1666666666666667	1.1666666666666667	1.1666666666666667	1.6666666666666667	1.6666666666666667	1.1666666666666667	1.1666666666666667	1.0	0.0	1.0	0.0	1.0	1.0	1.4	1.0	1.0	1.0	1.0	1.0	1.2	1.0	1.2	1.0	0.0	1.0	1.0	2.0	2.0	1.6	0.0	1.0	1.25	1.75	1.0	1.0	1.0	1.0	1.3333333333333333	1.3333333333333333	1.0	1.0	1.75	1.0	0.0	0.0	0.0	1.75	1.0	0.0	1.0	1.2857142857142858	1.0	1.1666666666666667	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.3333333333333333	1.2	1.6	0.0	1.1428571428571428	1.1428571428571428	1.4	1.0	1.0	1.1428571428571428	1.2857142857142858	1.0	0.0	1.0	0.0	1.0	1.0	1.1666666666666667	1.2	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.25	0.0	1.1666666666666667	1.1666666666666667	1.0	0.0	1.0	1.1666666666666667	1.0	0.0	1.0	0.0	0.0	1.1666666666666667	0.0	1.0	1.1428571428571428	0.0	1.2	1.1666666666666667	1.1666666666666667	1.0	1.2	1.2857142857142858	1.0	1.1666666666666667	1.4285714285714286	1.25	1.2857142857142858	1.1428571428571428	1.5	1.1666666666666667	0.0	1.0	1.0	0.0	1.5	0.0	1.1428571428571428	0.0	1.1428571428571428	1.0	1.0	0.0	0.0	0.0	0.0	1.4285714285714286	0.0	1.1666666666666667	0.0	0.0	1.1666666666666667	0.0	1.1666666666666667	1.0	1.0	1.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.2857142857142858	0.0	1.2	1.1666666666666667	0.0	1.2	0.0	0.0	0.0	0.0
M00524	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.5	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.5	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.5	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00525	0.0	1.2	1.2	0.0	1.1666666666666667	1.2	0.0	1.3333333333333333	0.0	1.2	1.2	1.3333333333333333	1.0	1.8333333333333333	1.0	1.5	1.6	1.6666666666666667	1.0	1.5	1.0	1.5	1.0	1.0	1.5	1.0	0.0	1.1666666666666667	1.0	0.0	1.4	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.1666666666666667	1.6	1.0	1.0	1.2	1.1666666666666667	1.1666666666666667	1.0	1.2	0.0	1.0	1.8333333333333333	1.6	1.4	1.4	1.0	1.0	1.1666666666666667	0.0	1.5	1.2	0.0	1.0	1.1666666666666667	0.0	0.0	1.0	1.0	1.0	1.0	1.2	0.0	1.6666666666666667	1.0	1.5	1.0	0.0	1.2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.3333333333333335	1.0	1.0	1.1666666666666667	1.0	1.0	1.0	1.4	1.1666666666666667	1.2	1.1666666666666667	1.6666666666666667	1.8	1.1666666666666667	1.1666666666666667	1.0	0.0	1.0	0.0	1.0	0.0	1.3333333333333333	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.2	0.0	0.0	1.0	1.0	0.0	0.0	1.6	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.2857142857142858	1.3333333333333333	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.3333333333333333	1.0	1.1428571428571428	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.2857142857142858	1.2	1.6	0.0	1.1666666666666667	1.1666666666666667	1.4	1.0	0.0	1.1666666666666667	1.3333333333333333	0.0	0.0	0.0	0.0	1.0	1.0	1.2	1.2	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.1666666666666667	1.1666666666666667	0.0	0.0	1.0	1.1666666666666667	1.0	0.0	0.0	0.0	0.0	1.1666666666666667	0.0	0.0	1.0	0.0	1.2	1.2	1.2	0.0	1.2	1.2857142857142858	0.0	1.1666666666666667	1.4285714285714286	0.0	1.3333333333333333	1.0	1.5	1.1666666666666667	0.0	0.0	1.0	0.0	1.5	0.0	1.1666666666666667	0.0	1.1666666666666667	1.0	1.0	0.0	0.0	0.0	0.0	1.5	0.0	1.1666666666666667	0.0	0.0	1.1666666666666667	0.0	1.1666666666666667	1.0	1.0	1.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.3333333333333333	0.0	1.2	1.2	0.0	1.2	0.0	0.0	0.0	0.0
M00528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00529	0.0	0.0	1.0	0.0	0.0	1.3333333333333333	0.0	1.25	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.2222222222222223	0.0	0.0	1.0	0.0	0.0	1.3333333333333333	1.6666666666666667	1.0	0.0	1.3333333333333333	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.3333333333333333	1.6666666666666667	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.3333333333333333	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.75	1.0	1.0	0.0	0.0	0.0	1.75	0.0	0.0	1.1428571428571428	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
M00647	0.0	0.0	2.25	0.0	1.0	0.0	1.0	1.0	0.0	1.25	0.0	0.0	0.0	3.0	0.0	1.0	1.0	3.3333333333333335	1.0	1.3333333333333333	0.0	2.75	1.25	4.0	1.6666666666666667	0.0	1.0	2.4	1.0	1.0	1.0	0.0	1.25	1.0	0.0	2.0	0.0	2.75	1.8333333333333333	1.0	1.25	1.3333333333333333	1.0	1.75	1.0	0.0	1.2	0.0	0.0	0.0	2.4	3.0	1.0	1.0	0.0	1.0	0.0	1.3333333333333333	1.0	0.0	0.0	1.25	3.0	1.0	3.6666666666666665	1.3333333333333333	1.0	1.25	1.0	0.0	0.0	1.25	0.0	1.3333333333333333	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	3.25	1.0	0.0	0.0	1.0	1.0	1.75	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.6666666666666667	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	1.3333333333333333	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.3333333333333333	1.0	1.25	1.0	2.0	0.0	1.0	0.0	1.0	1.3333333333333333	0.0	0.0	0.0	0.0	1.4	1.0	1.3333333333333333	0.0	0.0	1.6666666666666667	0.0	0.0	1.3333333333333333	0.0	1.0	3.3333333333333335	0.0	2.0	1.6666666666666667	1.2	0.0	0.0	1.0	1.0	0.0	1.5	1.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.25	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.6666666666666667	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.6666666666666667	0.0	0.0	1.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
